"TicketID","CreatedDate","SubjectNoHTML","TransactionContent"
"3280927","2025-09-25 16:56:10","HPC Slurm/Software Issue: GPU Job QoS not Permitted","Hi [USER], I see that your job is currently running without issue. Did you get that output from squeue? If so, you can see that the job status is 'PD' which means pending. I am not 100% sure why it is showing this exact error, but it seems the nodes were allocated shortly after the start of the job. Are there any actual errors with the job itself? We are looking into the cause of this message, however it does not seem to actually be causing any errors. #!/bin/bash #SBATCH --job-name=KcollectLVL #SBATCH --output=klog/collect_%A_%a.out #SBATCH --error=klog/collect_%A_%a.err #SBATCH --mem=64G #SBATCH --time=72:00:00 #SBATCH --constraint=rtx_6000 #SBATCH --gres=gpu:4 #SBATCH --array=6,7,12,13,20 #SBATCH --mail-user=[EMAIL] #SBATCH --mail-type=END,FAIL #SBATCH --partition=gpu-general"
"3281158","2025-09-30 17:10:20","HPC User Account: [ID] in Student Group","approved Ticket [STAFF] via RT [EMAIL] wrote: I confirm [USER] is also an iHARP student besides his current group setup. Thanks! On Tue, Sep 30, 2025 at 9:46 AM [STAFF] via RT [EMAIL] wrote: Hello, We just need the written permission from [STAFF] and [STAFF]. They are cc'd. Then I can add you to the iHarp group as usual. No rush, Elliot [STAFF]"
"3281243","2025-09-26 00:00:06","HPC Other Issue: Nodes on partition [ID] being used in partition 2024","I was unaware of the 10 minute grace period.  Many apologies.  My calculations did run.  I appreciate your help and information on this.  Thank you! [USER] On Thu, Sep 25, 2025 at 4:41 PM [STAFF] via RT <[EMAIL]> wrote: Ticket Last Update From Ticket: Hello [USER], That is correct - nodes in the pi_bennettj partition will preempt jobs from users that are not in the pi_bennettj group after a 10 minute grace period. It looks like your jobs were submitted at 3:48pm EST and started ~10 minutes later at 3:58pm EST. Can you confirm that your job is running now? Thank you, [STAFF] On Thu Sep 25 15:55:41 2025, [USER] wrote: First Name: [USER] Last Name: [USER] Email: [EMAIL] Campus ID: [ID] Request Type: High Performance Cluster Hello, I'm trying to run jobs on the pi_bennettj partition, however, 4 of our nodes are being used on partition 2024. I was under the impression that the pi researchers would preempt anyone using our nodes. I've attached a list of the nodes being used. Thank you, [USER] Attachment 1: nodes.txt"
"3281293","2025-09-29 16:34:21","HPC Other Issue: jobs getting killed on 2024 queue","Yes had much better success over the weekend Thanks [USER] On Mon Sep 29 2025 at 12=3D03=E2=80=AFPM [STAFF] via RT <[EMAIL]> wrote Ticket <URL https//rt umbc edu/Ticket/Display html?id=3D3281293> Last Update From Ticket I see Is everything working as intended now Kind regards [STAFF] DoIT Unix Infra Student Worker On Fri Sep 26 16=3A41=3A53 2025 [USER] wrote Whoops sorry was submitting the batch file designed for taki ... -[USER] On Fri Sep 26 2025 at 4=3A38 PM [USER] <[EMAIL]> wrote Hi [STAFF] Thanks for the info I tried this just now #SBATCH --job-name=3DFIT_TILE_TRENDS ## name #SBATCH -N1 ## number of job step is to be allocated per instance of matlab #SBATCH --cpus-per-task 1 ## tasks per node/number of cores per matlab session will be ##SBATCH --partition=3D2024 ## desired partition #SBATCH --partition=3Dmatch ## desired partition #SBATCH --cluster=3Dchip-cpu ## desired cluster #SBATCH --account=3Dpi_strow #SBATCH --qos=3Dshared ## qos to get as many cpu2024 as possible else put pi_strow and get /bin/rm cannot remove '*~' No such file or directory /bin/rm cannot remove 'slurm*.err' No such file or directory sbatch error Missing '--gres' sbatch error You must specify a Generic RESource to use in your job sbatch error See this webpage for more details https//hpcf umbc edu/compute/overview/. sbatch error Batch job submission failed Unspecified error which according to the webpage you pointed me to should be used for gpu processors Thanks [USER] On Fri Sep 26 2025 at 9=3A52 AM [STAFF] via RT <[EMAIL]> wrote If you agree your issue is resolved please give us feedback on your experience by completing a brief satisfaction survey https//umbc us2 qualtrics com/SE/?SID=3DSV_etfDUq3MTISF6Ly&customeremail= =3D[EMAIL]&groupid=3DEIS&ticketid=3D3281293&ticketowner=3D[STAFF]%40umbc edu&ticketsubject=3DHPC+Other+Issue%3A+jobs+getting+killed+on+2024+queue If you believe your issue has not been resolved please respond to this message which will reopen your ticket Note A full record of your request can be found at Ticket <URL https//rt umbc edu/Ticket/Display html?id=3D3281293> Thank You _________________________________________ R e s o l u t i o n Hi [USER] First off let me elaborate on the slurm job ID's you are seeing When submitting an array job there is the main job ID which is 402067 in this case along with the array tasks for each which are like 402067_90 However each individual array task also gets its own actual job ID For example the actual job ID for array task 402067_90 is 402157 Next your job was likely canceled due to someone in pi_bennettj attempting to run a job on their nodes Nodes c24-[01-10] are all nodes contributed from pi_bennettj therefore they have priority access and the ability to preempt other users not in their group If you want to run your jobs on 2024 nodes but do not want to risk preemption use the 'match' partition If you would like more information on which partitions allow/disallow preemption check out this wiki page https//umbc atlassian net/wiki/spaces/faq/pages/1249509377/chip+Partitions+and+Usage#Partitions Let me know if that helps Have a nice day Kind regards [STAFF] DoIT Unix Infra Student Worker On Thu Sep 25 16=3A56=3A36 2025 [USER] wrote First Name [USER] Last Name [USER] Email [EMAIL] Campus ID [CAMPUSID] Request Type High Performance Cluster For some reason many of my jobs are getting killed/preempted slurmsteps I thought I had an issue with the code but seems fine to me Haven't had that before Is there a way to limit the jobs only to Larrabee's computer Wierd this is suppose the slurm job ID is 402067 I keep getting told eg 402166 has been killed?? makes no sense [USER]@chip-login1 AI_RTA$ grep -in slurmst slurm* slurm-402067_90 out=3A17=3A.........+slurmstepd error *** JOB 402157 ON c24-02 CANCELLED AT 2025-09-25T15=3A58=3A40 DUE TO PREEMPTION *** slurm-402067_91 out=3A17=3A.........+slurmstepd error *** JOB 402158 ON c24-02 CANCELLED AT 2025-09-25T15=3A58=3A40 DUE TO PREEMPTION *** slurm-402067_92 out=3A17=3A.........slurmstepd error *** JOB 402159 ON c24-02 CANCELLED AT 2025-09-25T15=3A58=3A40 DUE TO PREEMPTION *** slurm-402067_93 out=3A17=3A.........+.slurmstepd error *** JOB 402160 ON c24-02 CANCELLED AT 2025-09-25T15=3A58=3A40 DUE TO PREEMPTION *** slurm-402067_94 out=3A17=3A.........+..slurmstepd error *** JOB 402161 ON c24-02 CANCELLED AT 2025-09-25T15=3A58=3A40 DUE TO PREEMPTION *** slurm-402067_95 out=3A17=3A.........+.slurmstepd error *** JOB 402162 ON c24-02 CANCELLED AT 2025-09-25T15=3A58=3A40 DUE TO PREEMPTION *** slurm-402067_96 out=3A17=3A.........slurmstepd error *** JOB 402163 ON c24-02 CANCELLED AT 2025-09-25T15=3A58=3A40 DUE TO PREEMPTION *** slurm-402067_97 out=3A17=3A.........+slurmstepd error *** JOB 402164 ON c24-02 CANCELLED AT 2025-09-25T15=3A58=3A40 DUE TO PREEMPTION *** slurm-402067_98 out=3A17=3A.........+.........+...slurmstepd error *** JOB 402165 ON c24-03 CANCELLED AT 2025-09-25T16=3A00=3A57 DUE TO PREEMPTION *** slurm-402067_99 out=3A17=3A.........+.........slurmstepd error *** JOB 402166 ON c24-03 CANCELLED AT 2025-09-25T16=3A00=3A57 DUE TO PREEMPTION *** Original Request Requestors [USER] First Name [USER] Last Name [USER] Email [EMAIL] Campus ID [CAMPUSID] Request Type High Performance Cluster For some reason many of my jobs are getting killed/preempted slurmsteps I thought I had an issue with the code but seems fine to me Haven't had that before Is there a way to limit the jobs only to Larrabee's computer Wierd this is suppose the slurm job ID is 402067 I keep getting told eg 402166 has been killed?? makes no sense [USER]@chip-login1 AI_RTA$ grep -in slurmst slurm* slurm-402067_90 out=3A17=3A.........+slurmstepd error *** JOB 402157 ON c24-02 CANCELLED AT 2025-09-25T15=3A58=3A40 DUE TO PREEMPTION *** slurm-402067_91 out=3A17=3A.........+slurmstepd error *** JOB 402158 ON c24-02 CANCELLED AT 2025-09-25T15=3A58=3A40 DUE TO PREEMPTION *** slurm-402067_92 out=3A17=3A.........slurmstepd error *** JOB 402159 ON c24-02 CANCELLED AT 2025-09-25T15=3A58=3A40 DUE TO PREEMPTION *** slurm-402067_93 out=3A17=3A.........+.slurmstepd error *** JOB 402160 ON c24-02 CANCELLED AT 2025-09-25T15=3A58=3A40 DUE TO PREEMPTION ***"
"3281491","2025-10-03 15:01:47","Srun not working for a parallel task","I apologize for the late reply. I wanted to suggest trying to add --mpi=pmix to srun commands (srun --mpi=pmix -n 8 /path/to/your/test --verbose). I think srun might be defaulting to a single rank, which could explain why you're seeing the 'Insufficient processes' error even when requesting multiple tasks and srun working when task is set to 1. pmix (Process Management Interface for Exascale) is the plugin that enables Slurm to correctly launch and manage MPI tasks across multiple ranks. Without specifying it, srun may not properly initialize the MPI environment, Let me know if that doesn’t resolve the issue. On Fri Sep 26 12:00:58 2025, [STAFF] wrote: Hi, I have listed the 6 files (SLURM scripts, job outputs, executable outputs) in the next section. In short, the 'mpirun' launches my program successfully, while 'srun' leads to several invalid memory access issues. Both SLURM scripts launch 31 executables at the same time (on 1 CPU node with 8 CPU cores). The only difference is the MPI launcher 'srun' v.s. 'mpirun'. 'srun' version: - Work directory for the 'srun' version: [DIRECTORY] - 'srun' job script: [FILE] - 'srun' job output: [FILE] - Actual 'srun' commands and output: [FILE] 'mpirun' version: - Work directory for the 'mpirun' version: [DIRECTORY] - 'mpirun' job script: [FILE] - 'mpirun' job output: [FILE] - Actual 'mpirun' commands and output: [FILE] The 'mpirun' command I use for this test is from a Spack build of OpenMPI with the following spec: -- linux-rhel9-cascadelake / %c,cxx,fortran=gcc@13.3.0 ---------- openmpi@5.0.8+atomics~cuda~debug+fortran~gpfs~internal-hwloc~internal-libevent~internal-pmix~ipv6~java~lustre~memchecker~openshmem~rocm~romio+rsh~static~two_level_namespace+vt+wrapper-rpath build_system=autotools fabrics:=none romio-filesystem:=none schedulers:=none Best, [USER] On Sep 26, 2025, at 10:38 AM, via RT [EMAIL] wrote: Greetings, This message has been automatically generated in response to the creation of a ticket regarding: ---------------------------------------------------------------------- Subject: 'Srun not working for a parallel task ' Message: [STAFF] had an office hour with [STAFF] and [STAFF]. We weren’t able to provide an immediate solution. [USER], please add the errors you get, your slurm script, and the working directory. ---------------------------------------------------------------------- There is no need to reply to this message right now. Your ticket has been assigned an ID of [TICKET] or you can go there directly by clicking the link below. Ticket <URL: https://www.google.com/url?q=https://rt.umbc.edu/Ticket/Display.html?id%3D[TICKET]&source=gmail-imap&ust=1759502303000000&usg=DAOvVaw1BhV3ToX1x16wyeHk2LQlO> You can login to view your open tickets at any time by visiting https://www.google.com/url?q=http://my.umbc.edu&source=gmail-imap&ust=1759502303000000&usg=DAOvVaw0xuQYMPyzRNQkSErohTnsE and clicking on 'Help' and 'Request Help'. Alternately you can click on https://www.google.com/url?q=http://my.umbc.edu/help&source=gmail-imap&ust=1759502303000000&usg=DAOvVaw0m_jvA-yDKTyCKcX8QkLj3 Thank you -- Best, [STAFF] DOIT Unix infra, Graduate Assistant"
"3281714","2025-09-26 18:20:20","HPC Slurm/Software Issue: Cannot create slurm job","Thank you On Fri Sep 26 2025 at 1=55 PM [STAFF] via RT [EMAIL] wrote Ticket Last Update From Ticket Hi [USER] Chip is not down That being said I did notice that the configuration was acting strange and it turns out that it was trying to submit jobs to the gpu-contrib partition which is non-submittable partition Ive changed that the gpu partition is back to being the default partition and should work In the future you can always check to see if chip is really down by using the sinfo command Additionally you can also specify the partition using the --partition=3D${gpu_partition} Let me know if you have more questions about this Ill leave the ticket open for a few days On Fri Sep 26 13=36=48 2025 [USER] wrote First Name [USER] Last Name [USER] Email [EMAIL] Campus ID [CAMPUS_ID] Request Type High Performance Cluster Hello I attempted to run a slurm job srun --cluster=3Dchip-gpu --account=3Dpi_[USER] --mem=3D20000 --time=3D12=00=00 --gres=3Dgpu=1 --pty $SHELL Recieved srun Requested partition configuration not available now I am pretty sure chip is down would it be possible to recieve an update when chip is available again Thank you Best [STAFF] DOIT HPC System Administrator"
"3282078","2025-10-31 13:11:06","Cloud: Google Vision","Waiting for info from [LOCATION] to get GCP billing in place. -- [STAFF], Associate Director of Research and Enterprise Computing, Enterprise Infrastructure Solutions, [ORGANIZATION]."
"3282188","2025-11-04 16:49:54","HPC Slurm/Software Issue: Please install newer Matlab","The provided text appears to be an email conversation between Matthias Gobbert and Max Breitmeyer, discussing the installation of MATLAB R2025b on a high-performance cluster at UMBC. Here's a summary of the conversation:  * Matthias Gobbert requests the installation of MATLAB R2025b, mentioning that the current version (R2023b) is two years old. * Max Breitmeyer responds, stating that he has added MATLAB 2025b to the 2024 partitions and is working on installing it on the 2018 and 2021 partitions. * Matthias Gobbert reports an error when trying to use MATLAB 2025b and provides logs from a job that failed. * Max Breitmeyer investigates the issue and determines that there are concerns about licensing and compatibility with older partitions. * The conversation continues, with Max Breitmeyer providing updates on his progress and Matthias Gobbert offering suggestions and feedback.  The text also includes some extraneous information, such as email signatures and requestor information."
"3282261","2025-09-29 16:59:49","HPC User Account: [USER] in Pi_ksolaima","Hi [USER], Your account ([USER]) has been added to the pi_[STAFF] group on chip.rs.umbc.edu . Please read through the documentation found at hpcf.umbc.edu > User Support. All available modules can be viewed using the command 'module avail'. Please submit additional questions or issues as separate tickets via the following link (https://doit.umbc.edu/request-tracker-rt/doit-research-computing/). Kind regards, [STAFF] DoIT Unix Infra Student Worker On Mon Sep 29 05:51:37 2025, [USER] wrote: First Name:                [USER] Last Name:                 [USER] Email:                     [EMAIL] Campus ID:                 [CAMPUSID] Request Type:              High Performance Cluster Create/Modify account in existing PI group Existing PI Email:    [STAFF]@umbc.edu Existing Group:       Pi_[STAFF] Project Title:        Multimodal information retriever Project Abstract:     This project focuses on the development of a robust system for anomaly detection in multivariate, irregularly-sampled time-series data, with an application to identifying electricity theft from the Smart Grid Generated Data (SGCC) dataset. The primary methodology involves the implementation and training of Neural Controlled Differential Equations, a deep learning architecture designed to capture complex temporal dependencies. I am developing and training a series of deep learning models for my time-series analysis research. On my current resources, the training process is prohibitively slow, with each epoch taking approximately 40-45 minutes to complete. This makes iterative development, debugging, and essential hyperparameter tuning impractical. Access to the HPC cluster would significantly accelerate this research by enabling me to run multiple experiments in parallel and iterate on model architectures and feature engineering more efficiently. Thank you for your time and consideration."
"3282435","2025-09-30 15:09:21","Need to create account in the chip cluster under [STAFF]'s group","Correct request was submitted: https://rt.umbc.edu/Ticket/Display.html?id=[TICKET_ID] -- Best, [STAFF], [POSITION]"
