"TicketID","TransactionID","CreatedDate","SubjectNoHTML","TransactionContent"
"3030438","70125636","2025-07-02 13:46:01","iHARP: Moving Lambda Scalar 2U Intel from iHARP suite","I see that you've pasted a long email thread. To summarize, it appears that Nikki Monczewski from the iHARPNSF HDR Institute is reaching out to Roy Prouty and Max Breitmeyer from the DOIT Unix Infra team regarding an issue with a server located in room 140 of the 900 Walker Avenue building.  Nikki mentions that the server is making noise, causing disruptions, and has been a concern for some time. She asks if it's possible to relocate the server or find an alternative solution.  Roy Prouty responds, suggesting that Nikki reach out to the facilities department to report the issue, as they may be able to provide a more suitable environment for the server.  Max Breitmeyer also responds, mentioning that he is not aware of any servers in room 140 and asks if Nikki can provide more information about the server in question."
"3049472","68021822","2025-03-06 14:21:53","Trouble Accessing Taki","Here is the cleaned text:  Since this is an old ticket it isn't recommend to reopen a ticket for a new issue. Please create a new ticket here under Research computing. In addition to the error message let us know the command you are running and in which directory you are running the command. On Wed Mar 05 15:51:57 2025 [USER] wrote: Hello I am a long-time taki user but I am using it after some time. I am having trouble with display I get the following message: X11 connection rejected because of wrong authentication. % WINDOW: Unable to connect to X Windows display: localhost:8.0 % WINDOW: Unable to open X Windows display. Is your DISPLAY environment variable set correctly? I am not sure if it is my local x-window problem - because the display works with other servers! Your help will be appreciated. Thank you. [USER] On Fri Oct 4 2024 at 10:10 AM via RT [EMAIL] wrote: Greetings This message has been automatically generated in response to the creation of a ticket regarding: Subject: 'Trouble Accessing Taki' Message: Hi [USER] Thank you for calling TSC today! We discussed an issue you were having with the taki computer which was that you were trying to access a certain directory but it tells you that it doesn't exist. You have done the basic troubleshooting steps such as logging out and logging back in restarting the device and checking the wireless internet connection and nothing seemed to work. Please stand by for further assistance and have a good day! -- [STAFF] [PHONE] -- There is no need to reply to this message right now. Your ticket has been assigned an ID of [TICKET ID] or you can go there directly by clicking the link below. Ticket You can login to view your open tickets at any time by visiting http://my.umbc.edu and clicking on 'Help' and 'Request Help'. Alternately you can click on http://my.umbc.edu/help Thank you Best [STAFF]"
"3060210","66993907","2025-01-17 15:05:55","Other Account Request: James Clavin","Hi, Sorry for the delay - here's the list of docker images: root@knacc1:~# docker ps --format 'table {{.ID}}\t{{.Image}}\t{{.Names}}' CONTAINER ID  IMAGE    NAMES f3dabee1db0f  ghcr.io/blockscout/frontend:latest  frontend 243f2712b616  blockscout/blockscout:latest  backend b1420a05bff9  ghcr.io/blockscout/stats:latest  stats 57221f2b1775  ghcr.io/blockscout/user-ops-indexer:latest  user-ops-indexer 46bb79445266  postgres:15  db 69188055a88a  postgres:15  stats-db 01ac88fe8509  ghcr.io/blockscout/visualizer:latest  visualizer b1919a9fc4bd  ghcr.io/blockscout/sig-provider:latest  sig-provider 6c088a3975f0  traefik:2.10.6  kurtosis-reverse-proxy--49031dacc9de477eb73dc4942189b86b 7891c6ede0ef  timberio/vector:0.31.0-debian  kurtosis-logs-aggregator Regards, On Thu Jan 09 14:24:50 2025, [STAFF] wrote: Can you send us a list of the docker images if possible so we can identify the ones to be deleted. Regards [USER] On Thu, Jan 9, 2025, 2:22 PM John Riddle via RT <[EMAIL]> wrote: If you agree your issue is resolved, please give us feedback on your experience by completing a brief satisfaction survey: https://umbc.us2.qualtrics.com/SE/?SID=SV_etfDUq3MTISF6Ly&customeremail=[EMAIL]&groupid=EIS&ticketid=3060210&ticketowner=[STAFF]&ticketsubject=Other Account Request: [USER] <[EMAIL]> If you believe your issue has not been resolved, please respond to this message, which will reopen your ticket. Note: A full record of your request can be found at: Ticket https://rt.umbc.edu/Ticket/Display.html?id=3060210 Thank You _________________________________________ Resolution: Hi, I was able to clear up enough space to get logins working again, but here's only ~25GB space available on the system disk. Was wondering if some of the docker images could be removed, -- [STAFF] UNIX Systems Administrator Division of Information Technology University of Maryland, Baltimore County ______________________________________ Original Request: Requestors: [USER] First Name: [USER] Last Name: [USER] Email: [EMAIL] Campus ID: [USER] System: Other Request Type: Account Request Hi, knacc1.rs.umbc.edu seems to be up, as I have a couple of web apps that are responding when I go to them. But, I am unable to ssh into knacc1.rs.umbc.edu. I receive message, 'Permission denied, please try again.' I am able to ssh into its sister, knacc2.rs.umbc.edu, so I do not believe this to be an issue with my account. Thanks! [USER]"
"3073834","67010194","2025-01-17 20:19:32","Other Account Request: Brian Soller","Hi [USER], Sorry this got dropped for a bit. Were you able to figure out the API? Happy to schedule a synchronous meeting. On Mon Dec 02 10:56:37 2024, [STAFF] wrote: Hi Roy- Thank you. Do you have time for a quick call to discuss the limitations/billing on the API? My cell is [PHONE NUMBER] Thanks [USER]. If you agree your issue is resolved, please give us feedback on your experience by completing a brief satisfaction survey: https://umbc.us2.qualtrics.com/SE/?SID=SV_etfDUq3MTISF6Ly&customeremail=[EMAIL]&groupid=EIS&ticketid=3073834&ticketowner=[STAFF]&ticketsubject=Other Account Request: [USER]. If you believe your issue has not been resolved, please respond to this message, which will reopen your ticket. Note: A full record of your request can be found at: Ticket https://rt.umbc.edu/Ticket/Display.html?id=3073834. Hi [USER], I've generated a Google Cloud Project for you titled '[PROJECT NAME]' and I have enabled the 'Street View Static API'. Navigate to console.cloud.google.com and let me know if you have any questions. Project name: [PROJECT NAME] Project number: 1009251544078 Project ID: [PROJECT NAME]. Original Request: Requestors: [USER] First Name: [FIRST NAME] Last Name: [LAST NAME] Email: [EMAIL] Campus ID: [CAMPUS ID] System: Other Request Type: Account Request Hello I am looking to use the Google API to download a large number of google street images in Baltimore for my research. Is it possible to setup the API through my UMBC account? Thanks [USER]."
"3078596","67738235","2025-02-20 14:39:26","ada Account Request: Shaswati Saha","Hello [USER] I have given you a write access to [SERVER_NAME]. In the future, if you have any new issues please create a new ticket. On Wed Feb 19 12:43:57 2025, [STAFF] wrote: I need access to write to [SERVER_NAME]. Could you look into this at your earliest? On Mon Dec 02 14:54:42 2024, [STAFF] wrote: Hello I have given user [USER] access to just [SERVER_NAME] storage and linked it to the users home directory as [SERVER_NAME]. The user is still part of [GROUP_NAME] group. On Fri Nov 29 11:16:18 2024, [STAFF] wrote: If there's a way to just give her access to my storage, let me know. That will be better than making an account under my PI group. Best, [STAFF] -- [STAFF] Assistant Professor University of Maryland Baltimore County On Tue, Nov 26, 2024 at 3:33 PM RT API via RT <[EMAIL]> wrote: This e-mail is a notification that ada Account Request: [USER] has requested an account for the ada cluster environment in your research group. As the PI we request that you acknowledge and approve this account creation by replying to this message. Alternatively you can go to this link and review the ticket and indicate your decision here - Ticket Once we have your approval and the account request is reviewed we will create the account and you and the new user will receive another e-mail notifying you that the account has been created. If you have any other questions or concerns please contact us. Thanks, HPCF support staff -- Best, [STAFF]"
"3079361","67726149","2025-02-19 21:17:30","ada - Request to increase the storage by 10TB","Resolved in a separate ticket. -- [STAFF] Appointment Calendar: https://calendar.app.google/[CALENDAR_ID] [EMAIL]"
"3082092","67633449","2025-02-14 16:46:07","Other Account Request: Sujan Neupane","Unfortunately we cannot increase your quota without space being purchased. We have had our allocation from Google severely curtailed and are working to reduce usage. If you are interested in reading more please visit https://doit.umbc.edu/cloud-storage-changes/ If you're interested in purchasing more storage we can do so but it is [STAFF] Associate Director of Research and Enterprise Computing Enterprise Infrastructure Solutions UMBC - DoIT  Hello [STAFF] I am currently looking for a virtual machine AWS EC2 GCP or UMBC cloud where I can do data processing and analytics. I will work with large volumes of data 100s of GBs. So I think a CPU-based virtual machine with 16 cores 64GB system RAM and 1TB storage capacity would be optimal. I have also copied my GESTAR II supervisor Dr [STAFF] to this email. Sincerely [USER]  Hi [USER] Could you explain your needs a bit more What sort of compute resources are you looking for How much storage And for how long Further these requests generally come from staff or faculty member who can vouch for long-term ownership. Do you have a PI/advisor within GESTARR-II that might be appropriate Sorry for the long wait hoping we can get you the resources you need soon. [STAFF]  First Name [USER] Last Name [USER] Email [USER] Campus ID [USER] System Other Request Type Account Request Dear Admin I am a graduate research assistant working on research projects involving machine learning and big data at the GESTAR II department. I am in need of computing resource in the form of virtual machine from UMBC to store and process data and train machine learning models. I would really appreciate it if you could approve this request. Sincerely [USER]"
"3089529","67485316","2025-02-07 14:48:23","Other - AWS New Account Shell setup with iHARP credits","This account has been created and added to Kion. Please share the link with the appropriate users and let [STAFF] know if there are reports of problems. Have a nice weekend. -- [STAFF] DoIT, Windows System Administrator [EMAIL]"
"3089889","67375062","2025-02-03 18:33:41","Other - AWS New Account Shell setup with iHARP credits","This account has been configured in Kion and a budget notification has been set at 3500. Please share the logon link with the iHARP user, [USER], and let me know if they run into any problems. Have a nice day. -- [STAFF] DoIT, Windows System Administrator [EMAIL]"
"3092269","66713274","2025-01-02 19:03:52","Common Name:  ada-mgt.rs.umbc.edu - Expires :  01/08/2025","Seven day notice. -- [STAFF], [EMAIL]"
