"TicketID","TransactionID","CreatedDate","SubjectNoHTML","TransactionContent"
"3030438","70125636","2025-07-02 13:46:01","iHARP: Moving Lambda Scalar 2U Intel from iHARP suite","The email appears to be a discussion between Nikki Monczewski and Roy Prouty about relocating a server from the iHARP Institute at UMBC. The context suggests that the current location of the server is not ideal due to power supply issues, and they are exploring options for moving it to a more suitable location.  Here's a summary of the key points:  * Nikki Monczewski reaches out to Roy Prouty about relocating a server from the iHARP Institute at UMBC. * The current location of the server is not ideal due to power supply issues. * Roy Prouty suggests that the server could be moved to a more suitable location, possibly in the DoIT Research Computing Team's data center. * Max Breitmeyer, a DOIT Unix Infra Student Worker, chimes in and offers to help with the relocation process.  Overall, the email chain appears to be a discussion about finding a solution to relocate the server to a more reliable and suitable location."
"3049472","68021822","2025-03-06 14:21:53","Trouble Accessing Taki","Since this is an old ticket, it isn't recommended to reopen a ticket for a new issue.  Please create a new ticket here (https://doit.umbc.edu/request-tracker-rt/doit-research-computing/), under Research computing. In addition to the error message, let us know the command you are running and in which directory you are running the command. On Wed Mar 05 15:51:57 2025, [USER] wrote: Hello, I am a long-time taki user, but I am using it after some time.  I am having trouble with display, I get the following message: X11 connection rejected because of wrong authentication. WINDOW: Unable to connect to X Windows display: localhost:8.0 WINDOW: Unable to open X Windows display. Is your DISPLAY environment variable set correctly? I am not sure if it is my local x-window problem - because the display works with other servers! Your help will be appreciated. Thank you. [USER] On Fri, Oct 4, 2024 at 10:10 AM via RT [EMAIL] wrote: Greetings, This message has been automatically generated in response to the creation of a ticket regarding: Subject: Trouble Accessing Taki Message: Hi [USER], Thank you for calling TSC today! We discussed an issue you were having with the taki computer which was that you were trying to access a certain directory, but it tells you that it doesn't exist. You have done the basic troubleshooting steps such as logging out and logging back in, restarting the device, and checking the wireless internet connection, and nothing seemed to work. Please stand by for further assistance and have a good day! -- Customer Information Campus ID*: [USER] Username: [USERNAME] Phone*: [PHONE] -- [STAFF] Student Consultant DoIT Technology Support Center 410-455-3838 -- There is no need to reply to this message right now. Your ticket has been assigned an ID of [TSC Support #XXXXXXX] or you can go there directly by clicking the link below. Ticket <URL: https://rt.umbc.edu/Ticket/Display.html?id=XXXXXXX> You can login to view your open tickets at any time by visiting http://my.umbc.edu and clicking on 'Help' and 'Request Help'. Alternately you can click on http://my.umbc.edu/help Thank you -- Best, [STAFF]"
"3060210","66993907","2025-01-17 15:05:55","Other Account Request: [USER]","Sorry for the delay - here's the list of docker images: root@[SERVER]# docker ps --format 'table {{.ID}}\t{{.Image}}\t{{.Names}}' CONTAINER ID   IMAGE                                NAMES f3dabee1db0f  ghcr.io/[COMPANY]/frontend:latest    frontend 243f2712b616  [COMPANY]/blockscout:latest          backend b1420a05bff9  ghcr.io/[COMPANY]/stats:latest      stats 57221f2b1775  ghcr.io/[COMPANY]/user-ops-indexer:latest user-ops-indexer 46bb79445266  postgres:15                         db 69188055a88a  postgres:15                         stats-db 01ac88fe8509  ghcr.io/[COMPANY]/visualizer:latest   visualizer b1919a9fc4bd  ghcr.io/[COMPANY]/sig-provider:latest sig-provider 6c088a3975f0  traefik:2.10.6                      kurtosis-reverse-proxy--[TOKEN] 7891c6ede0ef  timberio/vector:0.31.0-debian       kurtosis-logs-aggregator Regards, On Thu Jan 09 14:24:50 2025, [STAFF] wrote: Can you send us a list if the docker images if possible so we can identify the ones to be deleted. Regards [USER] On Thu, Jan 9, 2025, 2:22 PM John Riddle via RT <[EMAIL]> wrote: If you agree your issue is resolved, please give us feedback on your experience by completing a brief satisfaction survey: https://umbc.us2.qualtrics.com/SE/?SID=SV_etfDUq3MTISF6Ly&customeremail=[EMAIL]&groupid=EIS&ticketid=3060210&ticketowner=[EMAIL]&ticketsubject=Other%20Account%20Request:%20[USER]%20<[EMAIL]> If you believe your issue has not been resolved, please respond to this message, which will reopen your ticket. Note: A full record of your request can be found at: Ticket <URL: https://rt.umbc.edu/Ticket/Display.html?id=3060210> Thank You _______________________________________ R e s o l u t i o n: Hi, I was able to clear up enough space to get logins working again, but here's only ~25GB space available on the system disk. Was wondering if some of the docker images could be removed, -- John Riddle UNIX Systems Administrator Division of Information Technology University of Maryland, Baltimore County _______________________________________ Original Request: Requestors: [USER] First Name:       James Last Name:         [LASTNAME] Email:             [EMAIL] Campus ID:        [CAMPUSID] System:            Other Request Type:     Account Request Hi, [SERVER] seems to be up, as I have a couple of web apps that are responding when I go to them. But, I am unable to ssh into [SERVER]. I receive message, 'Permission denied, please try again.' I am able to ssh into its sister, [SERVER], so I do not believe this to be an issue with my account. Thanks! [USER] -- John Riddle UNIX Systems Administrator Division of Information Technology University of Maryland, Baltimore County"
"3073834","67010194","2025-01-17 20:19:32","Other Account Request: [USER]","Hi [USER], Sorry this got dropped for a bit. Were you able to figure out the API? Happy to schedule a synchronous meeting. On Mon Dec 02 10:56:37 2024, [USER] wrote: Hi [STAFF]- Thank you. Do you have time for a quick call to discuss the limitations/billing on the API? My cell is [PHONE NUMBER]. Thanks [USER]. On Mon, Dec 2, 2024 at 8:56 AM [STAFF] via RT <[EMAIL]> wrote: If you agree your issue is resolved, please give us feedback on your experience by completing a brief satisfaction survey: https://umbc.us2.qualtrics.com/SE/?SID=SV_etfDUq3MTISF6Ly&customeremail=[EMAIL]&groupid=EIS&ticketid=3073834&ticketowner=[EMAIL]&ticketsubject=Other Account Request: [USER] If you believe your issue has not been resolved, please respond to this message, which will reopen your ticket. Note: A full record of your request can be found at: Ticket <URL: https://rt.umbc.edu/Ticket/Display.html?id=3073834 > Thank You _________________________________________ R e s o l u t i o n: Hi [USER], I've generated a Google Cloud Project for you titled '[PROJECT NAME]' and I have enabled the 'Street View Static API'. Navigate to console.cloud.google.com and let me know if you have any questions. Project name [PROJECT NAME] Project number 1009251544078 Project ID [PROJECT NAME] -- [STAFF] Appointment Calendar: https://calendar.app.google/iorJbqg6p7N5oPbD9 [STAFF].info Original Request: Requestors: [USER] First Name: [USER] Last Name: [USER] Email: [EMAIL] Campus ID: [CAMPUS ID] System: Other Request Type: Account Request Hello I am looking to use the Google API to download a large number of google street images in Baltimore for my research. Is it possible to setup the API through my UMBC account? Thanks [USER]."
"3078596","67738235","2025-02-20 14:39:26","ada Account Request: [USER]","Hello [USER], I have given you a write access to [SERVER]. In the future, if you have any new issues please create a new ticket. On Wed Feb 19 12:43:57 2025, [STAFF] wrote: I need access to write to [SERVER]. Could you look into this at your earliest? On Mon Dec 02 14:54:42 2024, [STAFF] wrote: I have given user [USER] access to just [SERVER] storage and linked it to the users home directory as [DIRECTORY]. The user is still part of [GROUP] group. On Fri Nov 29 11:16:18 2024, [STAFF] wrote: If there's a way to just give her access to my storage, let me know. That will be better than making an account under my PI group. Best, [STAFF]. On Tue, Nov 26, 2024 at 3:33 PM RT API via RT <[EMAIL]> wrote: This e-mail is a notification that ada Account Request: [USER] has requested an account for the ada cluster environment in your research group. As the PI we request that you acknowledge and approve this account creation by replying to this message. Alternatively you can go to this link and review the ticket and indicate your decision here - Ticket <URL: https://rt.[DOMAIN]/Ticket/Display.html?id=3078596> Once we have your approval and the account request is reviewed we will create the account and you and the new user will receive another e-mail notifying you that the account has been created. If you have any other questions or concerns please contact us. Thanks, HPCF support staff"
"3079361","67726149","2025-02-19 21:17:30","ada - Request to increase the storage by 10TB","Resolved in a separate ticket. -- [STAFF] Appointment Calendar: https://calendar.app.google/[CALENDAR_ID] [EMAIL]"
"3082092","67633449","2025-02-14 16:46:07","Other Account Request: [USER]","Unfortunately we cannot increase your quota without space being purchased. We have had our allocation from Google severely curtailed and are working to reduce usage. If you're interested in reading more please visit https://doit.umbc.edu/cloud-storage-changes/. If you're interested in purchasing more storage we can do so but it is sold in increments of 100GB for $20 per year. [USER NAME] Hi Roy I am currently looking for a virtual machine (AWS EC2 GCP or UMBC cloud) where I can do data processing and analytics. I will work with large volumes of data (100s of GBs). So I think a CPU-based virtual machine with 16 cores 64GB system RAM and 1TB storage capacity would be optimal. [USER NAME] Hi Sujan Could you explain your needs a bit more? What sort of compute resources are you looking for? How much storage? And for how long? Further these requests generally come from staff or faculty member who can vouch for long-term ownership. Do you have a PI/advisor within GESTARR-II that might be appropriate? Sorry for the long wait hoping we can get you the resources you need soon. [USER NAME] Hi I am a graduate research assistant working on research projects involving machine learning and big data at the GESTAR II department. I am in need of computing resource in the form of virtual machine from UMBC to store and process data and train machine learning models. I would really appreciate it if you could approve this request."
"3089529","67485316","2025-02-07 14:48:23","Other - AWS New Account Shell setup with iHARP credits","[STAFF], This account has been created and added to Kion. Please share the link with the appropriate users and let me know if there are reports of problems. Have a nice weekend. -- [STAFF] DoIT, Windows System Administrator [EMAIL] (XXX)-XXX-XXXX"
"3089889","67375062","2025-02-03 18:33:41","Other - AWS New Account Shell setup with iHARP credits","This account has been configured in Kion and a budget notification has been set at 3500. Please share the logon link with the iHARP user, and let [STAFF] know if they run into any problems. Have a nice day. -- [STAFF] DoIT, Windows System Administrator [EMAIL]"
"3092269","66713274","2025-01-02 19:03:52","Common Name: [SERVER] - Expires :  01/08/2025","Seven day notice. -- [STAFF] [EMAIL]"
